Dataset,κ_inicial,Faixa L&K
Empírico (MQD-1209),0.7652429609141077,Substantial
SynSA-99,0.9849849398495788,Almost Perfect
SynSA-97,0.954954954954955,Almost Perfect
SynSA-95,0.9249246992478944,Almost Perfect
SynSA-90,0.8498493984957886,Almost Perfect
SynSA-85,0.7747747747747747,Substantial
SynSA-80,0.6996987969915771,Substantial
SynSA-75,0.6246234962394714,Substantial
SynSA-70,0.5495495495495495,Moderate
SynSA-65,0.47447289473526,Moderate
SynSA-60,0.3993975939831543,Fair
SynSA-55,0.3243243243243243,Fair
SynSA-50,0.2507496246240605,Fair
