estudo,cenario,dataset,modelo,kappa_inicial,kappa_modelos,delta_kappa,severidade,amplificacao_detectada,concordancia_alvo,p_value,cramers_v
Empírico (MQD-1465),MQD-1209-MF | SVM,MQD-1209-MF,SVM,0.7652,0.4647242995159253,0.3004757004840747,Severa,True,,,
Empírico (MQD-1465),MQD-1209-MF | NB,MQD-1209-MF,NB,0.7652,0.4861873856918489,0.2790126143081511,Moderada,True,,,
Empírico (MQD-1465),MQD-1209-MF | RF,MQD-1209-MF,RF,0.7652,0.4377709469645722,0.3274290530354278,Severa,True,,,
Empírico (MQD-1465),MQD-1209-MF | LR,MQD-1209-MF,LR,0.7652,0.4986300559304214,0.2665699440695785,Moderada,True,,,
Sintético (SynSA),SynSA-99 | SVM,SynSA-99,SVM,0.9849849398495788,0.6353954113372817,0.3495895285122971,Severa,True,99.0,2.6844028238178757e-174,0.6372412629650636
Sintético (SynSA),SynSA-99 | NB,SynSA-99,NB,0.9849849398495788,0.6474668821128585,0.3375180577367203,Severa,True,99.0,1.2843847388518136e-181,0.6503762922204933
Sintético (SynSA),SynSA-99 | RF,SynSA-99,RF,0.9849849398495788,0.2503067945980088,0.73467814525157,Severa,True,99.0,1.2578696016852548e-26,0.2527313083841282
Sintético (SynSA),SynSA-99 | LR,SynSA-99,LR,0.9849849398495788,0.674042876947551,0.3109420629020277,Severa,True,99.0,9.061744845089644e-196,0.6750416914943366
Sintético (SynSA),SynSA-97 | SVM,SynSA-97,SVM,0.954954954954955,0.557586402198014,0.3973685527569409,Severa,True,97.0,2.068276044409321e-133,0.5581868089075325
Sintético (SynSA),SynSA-97 | NB,SynSA-97,NB,0.954954954954955,0.5270783531495662,0.4278766018053888,Severa,True,97.0,1.5885862746562958e-119,0.5286394558439546
Sintético (SynSA),SynSA-97 | RF,SynSA-97,RF,0.954954954954955,0.2022206782046886,0.7527342767502664,Severa,True,97.0,4.1707049754507403e-17,0.203730303813323
Sintético (SynSA),SynSA-97 | LR,SynSA-97,LR,0.954954954954955,0.552352726239292,0.402602228715663,Severa,True,97.0,1.0193025129535648e-130,0.5525812225256413
Sintético (SynSA),SynSA-95 | SVM,SynSA-95,SVM,0.9249246992478944,0.4703705544535665,0.4545541447943279,Severa,True,95.0,1.2005488977747785e-94,0.4710496577448737
Sintético (SynSA),SynSA-95 | NB,SynSA-95,NB,0.9249246992478944,0.4821842285068052,0.4427404707410892,Severa,True,95.0,2.6975211574866385e-104,0.4941881275729767
Sintético (SynSA),SynSA-95 | RF,SynSA-95,RF,0.9249246992478944,0.1621070986511026,0.7628176005967918,Severa,True,95.0,4.9887615075026836e-12,0.1716655064857632
Sintético (SynSA),SynSA-95 | LR,SynSA-95,LR,0.9249246992478944,0.5119547963490747,0.4129699028988197,Severa,True,95.0,2.196841501343953e-112,0.5127769258712227
Sintético (SynSA),SynSA-90 | SVM,SynSA-90,SVM,0.8498493984957886,0.3941427341732529,0.4557066643225356,Severa,True,90.0,3.8039419253748425e-66,0.3947716870214756
Sintético (SynSA),SynSA-90 | NB,SynSA-90,NB,0.8498493984957886,0.3896063406617337,0.4602430578340548,Severa,True,90.0,5.993692029633176e-66,0.3941911115649416
Sintético (SynSA),SynSA-90 | RF,SynSA-90,RF,0.8498493984957886,0.1571141742053374,0.6927352242904512,Severa,True,90.0,2.674926852819504e-10,0.1591769125089746
Sintético (SynSA),SynSA-90 | LR,SynSA-90,LR,0.8498493984957886,0.4188420524136935,0.431007346082095,Severa,True,90.0,5.0303485723334895e-75,0.4200385935361535
Sintético (SynSA),SynSA-85 | SVM,SynSA-85,SVM,0.7747747747747747,0.405097821019865,0.3696769537549097,Severa,True,85.0,7.661418816853997e-71,0.4083325526196839
Sintético (SynSA),SynSA-85 | NB,SynSA-85,NB,0.7747747747747747,0.4128828632731116,0.3618919115016631,Severa,True,85.0,4.225887972292191e-74,0.4174803026577133
Sintético (SynSA),SynSA-85 | RF,SynSA-85,RF,0.7747747747747747,0.1786601615165056,0.5961146132582691,Severa,True,85.0,1.306223534080673e-13,0.1822961440993868
Sintético (SynSA),SynSA-85 | LR,SynSA-85,LR,0.7747747747747747,0.405574262647572,0.3692005121272027,Severa,True,85.0,1.268961262060992e-70,0.4077098783589827
Sintético (SynSA),SynSA-80 | SVM,SynSA-80,SVM,0.6996987969915771,0.3583332455861935,0.3413655514053836,Severa,True,80.0,5.2474931104719184e-55,0.3605392282856974
Sintético (SynSA),SynSA-80 | NB,SynSA-80,NB,0.6996987969915771,0.3471621058080844,0.3525366911834927,Severa,True,80.0,6.552858410350068e-55,0.360228327539339
Sintético (SynSA),SynSA-80 | RF,SynSA-80,RF,0.6996987969915771,0.1523058845831533,0.5473929124084238,Severa,True,80.0,5.458685011174773e-10,0.1568268472388207
Sintético (SynSA),SynSA-80 | LR,SynSA-80,LR,0.6996987969915771,0.3735198313276928,0.3261789656638843,Severa,True,80.0,1.88685396471979e-59,0.3745769146809032
Sintético (SynSA),SynSA-75 | SVM,SynSA-75,SVM,0.6246234962394714,0.2957253833326555,0.3288981129068159,Severa,True,75.0,7.059270692682414e-37,0.2963354250654388
Sintético (SynSA),SynSA-75 | NB,SynSA-75,NB,0.6246234962394714,0.2928249794373183,0.3317985168021531,Severa,True,75.0,4.818044240629797e-38,0.300885522559269
Sintético (SynSA),SynSA-75 | RF,SynSA-75,RF,0.6246234962394714,0.1414766359071746,0.4831468603322968,Severa,True,75.0,1.4611001442235481e-08,0.1454647168765175
Sintético (SynSA),SynSA-75 | LR,SynSA-75,LR,0.6246234962394714,0.2888106583506166,0.3358128378888548,Severa,True,75.0,4.417359208198274e-35,0.2891812799555796
Sintético (SynSA),SynSA-70 | SVM,SynSA-70,SVM,0.5495495495495495,0.2717695827045746,0.2777799668449749,Moderada,True,70.0,3.047648302243091e-33,0.2816655762727025
Sintético (SynSA),SynSA-70 | NB,SynSA-70,NB,0.5495495495495495,0.2769309384731118,0.2726186110764377,Moderada,True,70.0,5.142972586083863e-34,0.2848487725385725
Sintético (SynSA),SynSA-70 | RF,SynSA-70,RF,0.5495495495495495,0.1048629747092787,0.4446865748402708,Severa,True,70.0,4.9721201597970245e-05,0.1119161966440849
Sintético (SynSA),SynSA-70 | LR,SynSA-70,LR,0.5495495495495495,0.258286128240544,0.2912634213090055,Moderada,True,70.0,9.24853062713718e-30,0.2668384957924735
Sintético (SynSA),SynSA-65 | SVM,SynSA-65,SVM,0.47447289473526,0.2472773138876204,0.2271955808476396,Moderada,True,65.0,6.30992746750848e-27,0.2541150303710219
Sintético (SynSA),SynSA-65 | NB,SynSA-65,NB,0.47447289473526,0.218812897925652,0.255659996809608,Moderada,True,65.0,4.2466402357309713e-23,0.2358050686622191
Sintético (SynSA),SynSA-65 | RF,SynSA-65,RF,0.47447289473526,0.0737868029487586,0.4006860917865014,Severa,True,65.0,0.0017317536875038,0.0929052326343364
Sintético (SynSA),SynSA-65 | LR,SynSA-65,LR,0.47447289473526,0.2498137705924579,0.2246591241428021,Moderada,True,65.0,4.3143481943670235e-27,0.2548742607439505
Sintético (SynSA),SynSA-60 | SVM,SynSA-60,SVM,0.3993975939831543,0.1561751802437517,0.2432224137394025,Moderada,True,60.0,3.994611699231386e-10,0.1578602942316376
Sintético (SynSA),SynSA-60 | NB,SynSA-60,NB,0.3993975939831543,0.1458993741363895,0.2534982198467648,Moderada,True,60.0,7.562280551227294e-09,0.1478172335175103
Sintético (SynSA),SynSA-60 | RF,SynSA-60,RF,0.3993975939831543,0.0946346310179748,0.3047629629651794,Severa,True,60.0,4.2094459510782656e-05,0.1127170940579163
Sintético (SynSA),SynSA-60 | LR,SynSA-60,LR,0.3993975939831543,0.1847655545536518,0.2146320394295024,Moderada,True,60.0,1.6047267384056028e-14,0.1881276321056511
Sintético (SynSA),SynSA-55 | SVM,SynSA-55,SVM,0.3243243243243243,0.1227950359038401,0.2015292884204841,Moderada,True,55.0,1.0782182916471964e-06,0.1289387936962673
Sintético (SynSA),SynSA-55 | NB,SynSA-55,NB,0.3243243243243243,0.1049149654689828,0.2194093588553415,Moderada,True,55.0,6.978493063741196e-05,0.1102650700335976
Sintético (SynSA),SynSA-55 | RF,SynSA-55,RF,0.3243243243243243,0.0470927547177758,0.2772315696065485,Moderada,True,55.0,0.1522182316402993,0.0579374932248988
Sintético (SynSA),SynSA-55 | LR,SynSA-55,LR,0.3243243243243243,0.1323407874451159,0.1919835368792083,Moderada,True,55.0,1.5012179664480632e-07,0.1367872208135929
Sintético (SynSA),SynSA-50 | SVM,SynSA-50,SVM,0.2507496246240605,0.0974972191323692,0.1532524054916912,Moderada,True,50.0,0.0001906492827735,0.1051930597988397
Sintético (SynSA),SynSA-50 | NB,SynSA-50,NB,0.2507496246240605,0.1042821226784892,0.1464675019455713,Leve,True,50.0,6.029923799787658e-05,0.1109801478585744
Sintético (SynSA),SynSA-50 | RF,SynSA-50,RF,0.2507496246240605,0.0613616652211622,0.1893879594028982,Moderada,True,50.0,0.0048107724517123,0.08649490326777
Sintético (SynSA),SynSA-50 | LR,SynSA-50,LR,0.2507496246240605,0.1255951754320002,0.1251544491920602,Leve,True,50.0,8.442679865422492e-07,0.1299410656094475
